SrNo,NIMS_ID,k,tigerid,OPERATI+E:MONAL_CUSTOMER_REPC,REPC_SERVICE_ABBR,CIRCUIT_ISSUE_DATE,,pending_with,reason_of_pending,CRFS date,Config date,Pending,Assigned,testing date,TAT for testing
2548,NYYX-RZWX 30N051,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 22:48:11,PMORASAK,,,,,Complete,Rohan,,
2549,NYYX-RZWX 30N052,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 22:53:30,PMORASAK,,,,,Complete,Rohan,,
2550,NYYX-RZWX 30N053,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 22:59:06,PMORASAK,,,,,Complete,Rohan,,
2551,NYYX-RZWX 30N050,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 23:04:57,PMORASAK,,,,,Complete,Rohan,,
2552,AV3X-AV3X OF2883,Cancel,806738,22253 - BIGLOBE Inc.,GSM,28-11-2015 08:38:32,PRATPAND,SDCNOC,,30 Dec 99,24 Dec 15,Complete,Saurabh.A,,
2553,JBFX-LAAX 30N107,Cancel,806538,443 - SPRINT COMMUNICATIONS COMPANY L.P.,VTSPREM,29-11-2015 08:12:57,RCHAKRAD,,,,,Complete,Swapnali,,
2554,JBFX-LAAX 30N108,Cancel,806538,443 - SPRINT COMMUNICATIONS COMPANY L.P.,VTSPREM,29-11-2015 08:17:50,RCHAKRAD,,,,,Complete,Swapnali,,
2555,JBFX-LAAX 30N112,Cancel,806538,443 - SPRINT COMMUNICATIONS COMPANY L.P.,VTSPREM,29-11-2015 08:17:57,RCHAKRAD,,,,,Complete,Swapnali,,
2556,JBFX-LAAX 30N110,Cancel,806538,443 - SPRINT COMMUNICATIONS COMPANY L.P.,VTSPREM,29-11-2015 08:18:04,RCHAKRAD,,,,,Complete,Swapnali,,
2557,JBFX-LAAX 30N111,Cancel,806538,443 - SPRINT COMMUNICATIONS COMPANY L.P.,VTSPREM,29-11-2015 08:18:10,RCHAKRAD,,,,,Complete,Swapnali,,
