order_id,1,2,3,process_type,5,plan_released_by,7,task_name,9,10,order_issued_date,11,12,13
NCCM_37976,20-02-2015 18:37,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-02-2015 18:40,,,
NCCM_38028,22-02-2015 18:53,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,22-02-2015 18:58,,,
NCCM_38074,23-02-2015 20:18,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,23-02-2015 20:26,,,
NCCM_38104,24-02-2015 15:51,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,24-02-2015 15:56,,,
NCCM_38110,24-02-2015 16:57,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,24-02-2015 17:00,,,
NCCM_38165,25-02-2015 17:48,NORMAL,IN PROGRESS,BTNCCM,5,JKathare,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,25-02-2015 18:18,,,
NCCM_38174,26-02-2015 11:19,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,26-02-2015 11:24,,,
NCCM_38201,27-02-2015 13:58,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,27-02-2015 14:57,,,
NCCM_38208,27-02-2015 16:39,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,27-02-2015 16:57,,,
NCCM_38301,02-03-2015 15:11,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,02-03-2015 15:15,,,
NCCM_38331,03-03-2015 10:18,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,03-03-2015 10:23,,,
NCCM_38361,03-03-2015 16:37,NORMAL,IN PROGRESS,BTNCCM,5,ramkumar.v,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,03-03-2015 17:02,,,
NCCM_38391,03-03-2015 21:10,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,03-03-2015 21:26,,,
NCCM_38426,04-03-2015 13:00,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,04-03-2015 13:05,,,
NCCM_38432,04-03-2015 19:57,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,04-03-2015 20:06,,,
NCCM_38437,05-03-2015 10:35,NORMAL,IN PROGRESS,BTNCCM,5,singh.amit,PMG,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,05-03-2015 11:42,,,
NCCM_38441,05-03-2015 11:40,NORMAL,IN PROGRESS,BTNCCM,5,VHole,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,05-03-2015 11:45,,,
NCCM_38499,05-03-2015 18:08,NORMAL,IN PROGRESS,BTNCCM,5,JKathare,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,05-03-2015 18:13,,,
NCCM_38349,03-03-2015 12:21,NORMAL,IN PROGRESS,BTNCCM,5,VHole,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-03-2015 00:00,,,
NCCM_38518,07-03-2015 13:05,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,07-03-2015 13:11,,,
