tiger_id,viznetM6id,gam_id,mrc_converted,nrc_converted,program_manager,evolve_status,customer_name,provisioner_name,service_type,inbasket_date
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 14:06:08
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 14:03:36
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 13:00:18
785146,,785146,,,,,10432 - ROGERS TELECOM (US) INC ,PMORASAK,VTS,03-12-2015 13:57:17
790352,,790352,,,,,34961 - TATA - BB VIDEOCONNECT,ASATPUTE,*N/A*,29-07-2015 14:01:28
816536,,816536,,,,,25008 - KORBEN,MNIBRAD,GSM,04-03-2016 11:32:44
817495,,817495,,,,,21903 - Emirates Integrated Telecommunications Com,ROVARADE,VTSPREM,22-03-2016 06:46:19
817495,,817495,,,,,21903 - Emirates Integrated Telecommunications Com,ROVARADE,VTSPREM,22-03-2016 06:46:05
819687,,819687,,,,,"18230 - TELECOM ITALIA SPARKLE OF NORTH AMERICA, I",AKARMUR,GSM,18-03-2016 12:11:27
807823,,807823,,,,,20399 - TATA COMMUNICATIONS (US) INC.,PRATPAND,*N/A*,09-12-2015 07:32:30
810736,,810736,,,,,20399 - TATA COMMUNICATIONS (US) INC.,AVIPATIL,*N/A*,18-03-2016 08:14:39
800969,,800969,,,,,20399 - TATA COMMUNICATIONS (US) INC.,ASATPUTE,*N/A*,28-10-2015 11:30:26
816591,,816591,,,,,20399 - TATA COMMUNICATIONS (US) INC.,AVIPATIL,*N/A*,25-02-2016 15:42:27
809795,,809795,,,,,20399 - TATA COMMUNICATIONS (US) INC.,KKHADE,*N/A*,25-01-2016 08:11:54
809795,,809795,,,,,20399 - TATA COMMUNICATIONS (US) INC.,KKHADE,*N/A*,25-01-2016 08:11:50
809795,,809795,,,,,20399 - TATA COMMUNICATIONS (US) INC.,KKHADE,*N/A*,25-01-2016 08:11:45
809794,,809794,,,,,20399 - TATA COMMUNICATIONS (US) INC.,ASHANDHA,*N/A*,22-01-2016 09:39:10
704758,,704758,,,,,20399 - TATA COMMUNICATIONS (US) INC.,SMAHAMUN,*N/A*,23-12-2013 07:28:34
704758,,704758,,,,,20399 - TATA COMMUNICATIONS (US) INC.,SMAHAMUN,*N/A*,23-12-2013 07:29:45
807824,,807824,,,,,20399 - TATA COMMUNICATIONS (US) INC.,PRATPAND,*N/A*,08-02-2016 12:53:45
820466,,820466,,,,,20399 - TATA COMMUNICATIONS (US) INC.,PRATPAND,*N/A*,26-03-2016 09:55:51
820241,,820241,,,,,20399 - TATA COMMUNICATIONS (US) INC.,KKHADE,*N/A*,23-03-2016 16:13:49
739391,,739391,,,,,20399 - TATA COMMUNICATIONS (US) INC.,SMAHAMUN,*N/A*,20-11-2014 10:34:01
