SrNo,nims_id,CRAMMER_NAME,circuit_action_type,tiger_id,customer_name,service_type,VIZNET_ID_,provisioner_name,order_issued_date
62,W1UX-W1UX VC4S801,MUMB/W1UX/SANCH/IND*MUMB/W1UX/SANCH/IND VC4S0071,Provide,810014,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,17-02-2016 12:25:25
63,IM6X-IM6X BVID0011,MUMB/IM6X/VSNLI/IND*MUMB/IM6X/VSNLI/IND BVID0062,Provide,819928,25700 - TATA - BB ETHERNET.,*N/A*,IOR_132778,AVIPATIL,21-03-2016 10:12:43
64,H99X-W1UX VC4S001,HNKG/H99X/SANCH/CHN*MUMB/W1UX/SANCH/IND VC4S0001,Provide,810014,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,17-02-2016 12:40:00
65,H71X-H99X 0810PISID10000029,HNKG/H71X/THK/HKG*HNKG/H99X/SANCH/CHN ISID0021,Provide,799271,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,11-12-2015 15:04:34
66,P1VX-SV1X VC3S024,PLAL/P1VX/TGBUS/USA*SNCL/SV1X/TGBUS/USA VC3S0027,Cancel,812593,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,29-01-2016 10:59:05
67,C99X-C99X SPVLAN0098,CHNI/C99X/SANCH/IND*CHNI/C99X/SANCH/IND SPVLAN0098,Provide,791632,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,10-12-2015 08:13:20
68,N0VX-NW8X BVID0700,NYKC/N0VX/TGBUS/USA*NYKC/NW8X/TGBUS/USA BVID0007,Provide,798510,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,24-11-2015 12:35:17
69,H99X-H99X SPVLAN0030,HNKG/H99X/SANCH/CHN*HNKG/H99X/SANCH/CHN SPVLAN0030,Provide,798416,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,11-12-2015 09:58:39
70,H99X-H99X 1G065,HNKG/H99X/SANCH/CHN*HNKG/H99X/SANCH/CHN 1G0065,Provide,798416,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,11-12-2015 10:00:05
71,SVQX-T9YX VC4S003,BNGK/T9YX/TRUEL/THA*SING/SVQX/VSNLS/SGP VC4S0003,Provide,795490,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,25-02-2016 08:25:22
72,IM6X-W1UX BVID4012,MUMB/IM6X/VSNLI/IND*MUMB/W1UX/SANCH/IND BVID0086,Provide,819635,25700 - TATA - BB ETHERNET.,*N/A*,IOR_343209,AVIPATIL,18-03-2016 15:06:40
73,H71X-IH4X 0810PISID14000007,HNKG/H71X/THK/HKG*SING/IH4X/VSNLS/SGP ISID0005,Provide,799273,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,14-12-2015 14:02:11
74,N0VX-NJYX BVID0900P,NWRK/NJYX/TGBUS/USA*NYKC/N0VX/TGBUS/USA BVID0007,Provide,798510,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,24-11-2015 12:36:04
75,HW1X-L78X VC3S853,HWCX/HW1X/TGBUK/GBR*LNDN/L78X/TGBUK/GBR VC3S0233,Provide,815994,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,18-03-2016 07:13:15
