nccm_id,Scenario Type,Order Type,1,2,3,4,m6viznet_service_id,6,7,8,9,10,11,order_issued_date
NCCM_55233,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,13-02-2016 17:05,No,,Provisioning-Network,Provisioning-Network,13-02-2016 19:05
NCCM_55234,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,13-02-2016 18:48,No,,Provisioning-Network,Provisioning-Network,17-03-2016 03:33
NCCM_55238,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_UpdateCramerCLR,paresh.pawar,SOC-IP,,No,15-02-2016 10:31,No,,Provisioning-Network,Provisioning-Network,20-02-2016 18:33
NCCM_55239,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_UpdateCramerCLR,paresh.pawar,SOC-IP,,No,15-02-2016 10:35,No,,Provisioning-Network,Provisioning-Network,16-02-2016 12:28
NCCM_55240,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,singh.amit,ESOC,25397340691,No,15-02-2016 11:45,No,,ESOC,ESOC,20-02-2016 13:33
NCCM_55244,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,ISInamda,Provisioning-Network,,No,15-02-2016 14:00,No,,CM-Transport,CM-Transport,15-02-2016 14:01
NCCM_55246,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_RaiseCR,singh.amit,ESOC,091BENG1143007734611,No,15-02-2016 14:38,Yes,,ESOC,ESOC,29-02-2016 15:33
NCCM_57100,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AzanSidd,Provisioning-Network,,No,14-03-2016 15:13,No,,Provisioning-Network,Provisioning-Network,16-03-2016 05:25
NCCM_57062,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,1295316096,No,14-03-2016 09:31,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:39
NCCM_57063,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,10408295316094,No,14-03-2016 09:40,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:42
NCCM_57064,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,10213295316095,No,14-03-2016 09:44,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:46
